building_title,building_address,building_description,housing_price,owner_name,owner_whatsapp,owner_phone_number,owner_email,image_url
kost yuugen,jalan veteran bintaro no.1,kost murah cuman Rp.2.000.000,2000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost serangon,jalan ciamis bintaro no.91,kost perbulannya Rp.5.000.000,5000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost sagen,jalan kebayoran bintaro no.125,kost mahal ini jangan masuk,5500000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost pagen,jalan lampung bintaro no.122,kost murah cuman hubungi cp btw kosan ini ada kamar mandi dalam,900000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost togen,jalan kecamatan bintaro no.89,kost murah tanya aja lewat whatsapp ada dapurnya dan garasi motoor,500000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost pelangi,jalan veteran bintaro no.33,kost murah cuman Rp.1.350.000,1350000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost cewek cewekan,jalan tentara no.12,kost murah cuman Rp.1.100.000,1100000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost cowok,jalan tikus no.22,kost murah cuman Rp.2000.000,2000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost laki,jalan macan no.57,kost murah cuman Rp.5000.000,5000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost pati,jalan maung no.55,kost murah cuman Rp.22.000.000,22000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost demak,jalan kelinci no.32,kost murah cuman Rp.2.000.000,2000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost mikey,jalan kerinci Rw 15 rt08 no.21,kost murah cuman Rp.1.000.000,1000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost aisyah,jalan tanah abang no.15,kost murah cuman Rp.3.000.000,3000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
kost adam,jalan tanah kakak no.12,kost murah cuman Rp.1.000.000,1000000,muklis,8123456789,8123456789,muklis@gmail.com,https://google.com
